client_id,client_name,country,investment_goal,risk_profile,account_type
132,Gabriel Hays,Norfolk Island,Income,Conservative,corporate
133,Dr. Crystal Collins PhD,Philippines,Income,Conservative,individual
134,Jessica Johnson,Central African Republic,Income,Conservative,individual
135,Martin Hughes,Afghanistan,Balanced,Conservative,individual
136,Bryan Wilson,Sweden,Income,Moderate,corporate
137,Heather Harvey,Malaysia,Balanced,Conservative,corporate
138,Richard Mendez,Bahrain,Income,Moderate,individual
139,James Soto,Bahrain,Income,Moderate,corporate
140,Megan Horton,Cocos (Keeling) Islands,Income,Aggressive,corporate
141,Kim Cochran,Haiti,Income,Moderate,corporate
142,Lisa Evans,Bahrain,Growth,Aggressive,corporate
143,Melissa Marsh,Saint Pierre and Miquelon,Balanced,Moderate,corporate
144,Sandra Ortiz,Latvia,Growth,Conservative,corporate
145,Patricia Vega,Qatar,Balanced,Moderate,corporate
146,Paul Guerrero,Palestinian Territory,Balanced,Aggressive,corporate
147,Taylor Gardner,Gambia,Growth,Conservative,individual
148,John Ford,Reunion,Growth,Aggressive,individual
149,Eileen Diaz,Russian Federation,Balanced,Moderate,corporate
150,David Frey,Niue,Balanced,Moderate,corporate
151,Crystal Stanley,Russian Federation,Growth,Moderate,corporate
152,Margaret Riggs,Bermuda,Growth,Aggressive,corporate
153,Clinton Contreras,Micronesia,Income,Moderate,individual
154,Matthew Singleton,Venezuela,Balanced,Moderate,individual
155,Jeffery Young,Saint Vincent and the Grenadines,Growth,Aggressive,corporate
156,Jordan Lopez,Suriname,Income,Aggressive,corporate
157,Mandy Carr,Benin,Balanced,Moderate,individual
158,Anna Johnson,Hungary,Income,Aggressive,corporate
159,Kristi Evans,Tonga,Growth,Moderate,corporate
160,Adam Olson,Croatia,Balanced,Conservative,corporate
161,Hannah Reyes,Kiribati,Growth,Conservative,corporate
162,Amanda Ray,Botswana,Income,Moderate,corporate
163,Catherine Vazquez,Paraguay,Balanced,Conservative,individual
164,Elizabeth Cochran,Belarus,Balanced,Conservative,individual
165,Jamie Elliott,Burundi,Balanced,Conservative,individual
166,Gregory Everett,Tunisia,Growth,Moderate,corporate
167,Shawn Roberts,Ghana,Growth,Moderate,individual
168,Alexandra Ford,Korea,Growth,Moderate,corporate
169,Lindsey Kline,Comoros,Income,Moderate,individual
170,Debra Moore,Zimbabwe,Income,Moderate,corporate
171,Michael Daniels,Solomon Islands,Balanced,Aggressive,individual
172,Jacob Brown,Turks and Caicos Islands,Growth,Conservative,individual
173,Evan Barnett,Namibia,Income,Aggressive,individual
174,James Dickerson,Cote d'Ivoire,Balanced,Moderate,individual
175,Karen King,Anguilla,Growth,Aggressive,individual
176,Erin Robertson,Qatar,Balanced,Aggressive,corporate
177,Bridget Ellis,Syrian Arab Republic,Balanced,Conservative,corporate
178,Ricardo Spears,Solomon Islands,Balanced,Moderate,individual
179,Andrew Wood,Tokelau,Income,Conservative,corporate
180,Kelly Morgan,El Salvador,Income,Moderate,individual
181,Lisa Velez,Iraq,Growth,Moderate,corporate
182,Jennifer Haas,Ghana,Income,Aggressive,individual
183,Victor Rubio,Netherlands,Growth,Conservative,individual
184,Nicholas Cannon,Poland,Income,Aggressive,individual
185,Jennifer Green,Sweden,Balanced,Conservative,individual
186,Anthony Chang,Yemen,Balanced,Aggressive,corporate
187,Amanda Malone,Brunei Darussalam,Balanced,Conservative,corporate
188,Tammy Page,Cayman Islands,Balanced,Conservative,individual
189,Teresa Norris,Nigeria,Balanced,Conservative,corporate
190,Janet Santos,French Polynesia,Balanced,Aggressive,corporate
191,Jeremy Norris,Turkmenistan,Balanced,Conservative,individual
192,Miranda Sanchez,Bosnia and Herzegovina,Growth,Aggressive,individual
193,Evan Santiago,Bolivia,Balanced,Aggressive,corporate
194,Miranda Lawson,Barbados,Growth,Moderate,corporate
195,Annette Carroll,Aruba,Growth,Conservative,individual
196,Peter Carroll,Christmas Island,Growth,Aggressive,individual
197,Kimberly Griffith,China,Growth,Moderate,individual
198,Megan Mcgee,Slovenia,Growth,Moderate,individual
199,Randall White,Pakistan,Balanced,Aggressive,corporate
200,Catherine Nelson,Tunisia,Growth,Moderate,individual
201,James King,Colombia,Balanced,Conservative,corporate
202,Joshua Benjamin,Niue,Income,Moderate,corporate
203,Sheila Smith,Qatar,Growth,Conservative,corporate
204,Justin Grant,San Marino,Balanced,Moderate,individual
205,Whitney Alexander,Kuwait,Balanced,Conservative,corporate
206,Daniel May,Switzerland,Income,Moderate,individual
207,Amy Dougherty,Moldova,Income,Moderate,individual
208,Brian Thomas,Bahrain,Income,Moderate,corporate
209,Mary Johnson,Turks and Caicos Islands,Balanced,Moderate,corporate
210,Tasha Frost,Vietnam,Growth,Moderate,individual
211,Christopher Thomas,Russian Federation,Income,Conservative,individual
212,Natalie Long,Lesotho,Growth,Aggressive,individual
213,Beverly Wolfe,Congo,Balanced,Moderate,corporate
214,Kevin Johnson,Georgia,Growth,Conservative,individual
215,Sandra Cooper,Faroe Islands,Income,Moderate,corporate
216,Rachel Lawson,Kiribati,Balanced,Aggressive,individual
217,Samantha Burke,Venezuela,Growth,Aggressive,corporate
218,Shane Johnson,Albania,Growth,Moderate,individual
219,Kendra Fisher,Mongolia,Balanced,Aggressive,individual
220,Patricia Price,New Caledonia,Income,Aggressive,corporate
221,William Schmitt,Serbia,Growth,Moderate,corporate
222,Leah Trujillo,Estonia,Growth,Moderate,corporate
223,Joseph Anderson,Mali,Growth,Conservative,individual
224,Brett Rowe,Gabon,Income,Moderate,corporate
225,Maria Ramirez,Kenya,Income,Conservative,corporate
226,Andrea Wallace,China,Growth,Conservative,individual
227,Mr. Austin Becker II,Bouvet Island (Bouvetoya),Balanced,Conservative,corporate
228,William Mcdonald,Saint Kitts and Nevis,Balanced,Conservative,corporate
229,Austin Perez,Northern Mariana Islands,Growth,Aggressive,individual
230,Theresa Cline,Thailand,Growth,Moderate,corporate
231,David Webb,Slovakia (Slovak Republic),Balanced,Moderate,individual
232,Lucas Stein,Central African Republic,Balanced,Conservative,corporate
233,Mike Foster,Lebanon,Growth,Moderate,individual
234,Ashley Coleman,Tanzania,Growth,Aggressive,corporate
235,Adam Padilla,Belize,Balanced,Conservative,individual
236,Jordan Barton,Mongolia,Growth,Moderate,corporate
237,Stephanie Page,Luxembourg,Income,Conservative,corporate
238,Ruth Williams,New Zealand,Income,Conservative,corporate
239,Chloe Butler,Saudi Arabia,Growth,Conservative,individual
240,Blake Huang,New Caledonia,Income,Aggressive,individual
241,Angelica Ward,Tokelau,Balanced,Conservative,corporate
242,Alexis Lawrence,Saint Helena,Balanced,Aggressive,individual
243,Scott Haas,Croatia,Balanced,Conservative,corporate
244,Joseph Giles,Belgium,Growth,Conservative,corporate
245,Kathleen Harper,Botswana,Income,Aggressive,individual
246,Thomas Santos Jr.,Cayman Islands,Income,Conservative,corporate
247,Jesse Scott,Kuwait,Balanced,Moderate,corporate
248,Nicholas Noble,Tajikistan,Growth,Moderate,corporate
249,Michael Adkins,North Macedonia,Income,Conservative,corporate
250,David Marquez,Saint Martin,Growth,Aggressive,individual
251,Tyler Gardner,Ukraine,Income,Conservative,corporate
252,Nicholas Foster,Guinea-Bissau,Growth,Aggressive,individual
253,Kimberly Munoz,Sierra Leone,Growth,Moderate,corporate
254,Sarah Reyes,Guernsey,Balanced,Conservative,corporate
255,Zachary Gonzalez,Kazakhstan,Balanced,Conservative,corporate
256,Matthew Nielsen,Guernsey,Income,Aggressive,individual
257,Ernest Stewart,Seychelles,Growth,Conservative,individual
258,Jim Mccoy,Japan,Balanced,Aggressive,individual
259,Molly Blankenship,Saint Helena,Balanced,Aggressive,corporate
260,Sean Freeman,Cambodia,Income,Moderate,corporate
261,Devon Walker,Central African Republic,Balanced,Moderate,corporate
262,Robert Stanton,Ethiopia,Income,Aggressive,corporate
263,Molly Jenkins,Uganda,Growth,Moderate,corporate
264,Ryan Johnson,New Caledonia,Income,Moderate,individual
265,Beverly Todd,North Macedonia,Growth,Aggressive,individual
266,Julie Cooper,Lebanon,Income,Conservative,individual
267,Roger Richard,Bosnia and Herzegovina,Balanced,Moderate,corporate
268,Denise Miller,Saint Pierre and Miquelon,Income,Conservative,individual
269,Michael Walton,Mauritius,Income,Moderate,individual
270,Maria Oliver,Korea,Income,Moderate,corporate
271,Abigail Johnston,Bhutan,Balanced,Aggressive,individual
272,Jill Fuentes,Cambodia,Balanced,Aggressive,individual
273,Sean Cunningham,Monaco,Income,Aggressive,corporate
274,Deborah Ingram,Spain,Growth,Conservative,individual
275,Jordan Rose,Congo,Balanced,Conservative,individual
276,Kim Mendoza DDS,Belarus,Balanced,Moderate,corporate
277,Andrew Lane,Turkey,Income,Conservative,individual
278,David Smith,Yemen,Growth,Conservative,corporate
279,Sophia Haynes,Congo,Growth,Aggressive,individual
280,Walter Wilson,Cyprus,Balanced,Aggressive,corporate
281,Luis Wilson,Romania,Growth,Conservative,individual
282,Erik Miller,Heard Island and McDonald Islands,Growth,Conservative,corporate
283,Erin Le,Thailand,Income,Moderate,individual
284,Alan Stokes,Turks and Caicos Islands,Income,Moderate,corporate
285,Dawn Ford,Japan,Income,Aggressive,individual
286,Margaret Price,Andorra,Income,Aggressive,corporate
287,Brenda Knight,Nigeria,Income,Aggressive,individual
288,Heather Jones,Italy,Income,Aggressive,individual
289,Sean Scott,Estonia,Income,Conservative,individual
290,Susan Wallace,Turks and Caicos Islands,Income,Aggressive,individual
291,Emily Mosley,San Marino,Growth,Conservative,corporate
292,Chad Lee,Guernsey,Income,Aggressive,individual
293,Victor Riley,Lithuania,Income,Moderate,individual
294,Kelly Neal,Chad,Balanced,Aggressive,corporate
295,Mary Walton,Kiribati,Growth,Conservative,individual
296,Daniel Reyes,British Virgin Islands,Growth,Conservative,corporate
297,Victor Bryant,Myanmar,Balanced,Conservative,individual
298,Martha Bryant,Mali,Growth,Moderate,corporate
299,Nicholas Johnson,North Macedonia,Income,Aggressive,individual
300,Jason Hall,Oman,Income,Conservative,individual
301,Jonathan Watson,Iceland,Growth,Aggressive,individual
302,Alice Hardy,Norway,Balanced,Moderate,individual
303,Tanya Barnes,Mayotte,Balanced,Moderate,individual
304,Courtney Meyer,Netherlands,Income,Moderate,corporate
305,Timothy Wolfe,Angola,Balanced,Moderate,individual
306,Jessica Jones,Seychelles,Growth,Aggressive,corporate
307,Jamie Levine,Niger,Income,Conservative,individual
308,Joseph Sims,Brunei Darussalam,Balanced,Conservative,corporate
309,James Murphy,United States of America,Growth,Conservative,corporate
310,David Stewart,Cote d'Ivoire,Income,Moderate,individual
311,Crystal Williams,Korea,Growth,Conservative,corporate
312,Kathleen Cameron,Eritrea,Income,Aggressive,individual
313,John Shepherd,Madagascar,Balanced,Conservative,corporate
314,Russell Sullivan,Holy See (Vatican City State),Balanced,Conservative,individual
315,Tiffany House,Romania,Balanced,Conservative,corporate
316,Michael Stanton,Honduras,Income,Conservative,corporate
317,Alexis Cameron,Cote d'Ivoire,Balanced,Moderate,corporate
318,Peter Willis,Isle of Man,Growth,Conservative,corporate
319,Adam Hartman,Uzbekistan,Balanced,Aggressive,individual
320,Sandra Lamb,Belize,Growth,Aggressive,individual
321,Leonard Burns,Wallis and Futuna,Balanced,Aggressive,individual
322,Robert Morris,Thailand,Income,Conservative,corporate
323,Christopher Fox,Guernsey,Growth,Moderate,corporate
324,John Wright,Cuba,Income,Aggressive,corporate
325,Jillian Riggs,Estonia,Growth,Moderate,corporate
326,Andrew Hart,Cayman Islands,Income,Moderate,corporate
327,Ann English,Antigua and Barbuda,Growth,Conservative,corporate
328,Jacob Hogan,Switzerland,Balanced,Conservative,individual
329,Christina Stewart,Poland,Balanced,Moderate,corporate
330,Benjamin Rodriguez,Falkland Islands (Malvinas),Balanced,Moderate,corporate
331,Jade Hill,Solomon Islands,Balanced,Aggressive,individual
332,Michelle Cunningham,Burkina Faso,Growth,Aggressive,corporate
333,David Olson,Singapore,Income,Conservative,corporate
334,Joshua Boyer,Greece,Growth,Conservative,individual
335,Jason Johnson,Ukraine,Balanced,Moderate,corporate
336,Linda Bennett MD,Congo,Balanced,Conservative,individual
337,Ronald Ruiz,Barbados,Growth,Conservative,individual
338,Bryan Kelley,British Indian Ocean Territory (Chagos Archipelago),Income,Moderate,individual
339,Robert Rice,Barbados,Income,Aggressive,individual
340,Brad Clark,Oman,Income,Aggressive,individual
341,Christopher Harris,Panama,Growth,Moderate,individual
342,Bruce Collins,Monaco,Growth,Aggressive,individual
343,Walter Strong,French Southern Territories,Growth,Moderate,individual
344,Derek Salinas,Sweden,Income,Conservative,corporate
345,Noah Hopkins,Zimbabwe,Growth,Moderate,individual
346,Mr. Jonathan Jones MD,Panama,Income,Aggressive,individual
347,Joshua Ruiz,Malawi,Income,Moderate,corporate
348,William Powell,Korea,Balanced,Conservative,individual
349,Charles Foley,United States of America,Balanced,Aggressive,individual
350,Jason Jordan,Cameroon,Income,Conservative,individual
351,Michael Mack,Moldova,Income,Conservative,individual
352,Jeremiah Mcguire,Guadeloupe,Balanced,Moderate,corporate
353,Nancy Roberts,Liechtenstein,Balanced,Moderate,individual
354,Leslie Johnson,Latvia,Income,Moderate,individual
355,Erica Morales,Belarus,Income,Moderate,individual
356,Teresa Evans,Maldives,Growth,Conservative,individual
357,Kim Bond,Croatia,Income,Conservative,corporate
358,Marcus Parks,Bangladesh,Growth,Aggressive,individual
359,Christina Lewis,Venezuela,Income,Moderate,individual
360,Michael Olsen,Micronesia,Growth,Moderate,corporate
361,Erika Arias,Mexico,Income,Moderate,individual
362,Virginia Carrillo,Turkey,Income,Moderate,individual
363,Alexandra Dixon,Isle of Man,Balanced,Conservative,corporate
364,Heather Mendoza,Hungary,Balanced,Aggressive,corporate
365,Kimberly Walker,North Macedonia,Balanced,Moderate,individual
366,Sheila Campbell,United States Virgin Islands,Income,Aggressive,corporate
367,Jason Gonzales,Serbia,Balanced,Moderate,corporate
368,Dillon Sparks,Georgia,Balanced,Conservative,individual
369,Amber Dean,Pakistan,Growth,Aggressive,individual
370,Gina Wright,Gabon,Income,Aggressive,corporate
371,Mary Dominguez,Italy,Growth,Moderate,individual
372,John Horn,Burundi,Balanced,Conservative,corporate
373,Katie Hartman,Australia,Growth,Conservative,corporate
374,Chad Brown,Bosnia and Herzegovina,Growth,Conservative,individual
375,Carlos Dodson,Brazil,Balanced,Aggressive,corporate
376,Fernando Pineda MD,Mauritius,Growth,Aggressive,corporate
377,Michael Lawrence,Thailand,Income,Conservative,corporate
378,Sandra Weeks,Australia,Growth,Moderate,individual
379,Melissa Contreras,United States Minor Outlying Islands,Income,Aggressive,individual
380,Ryan Hardy,Kuwait,Growth,Conservative,corporate
381,Alexandra Gibbs,Argentina,Growth,Aggressive,corporate
382,Rebecca Shepherd DDS,Canada,Growth,Conservative,individual
383,Paul Lang,Azerbaijan,Income,Aggressive,individual
384,Thomas Padilla,Jordan,Balanced,Moderate,corporate
385,Alejandro Sosa,Seychelles,Growth,Conservative,individual
386,James Ortiz,Tokelau,Balanced,Conservative,individual
387,Stephanie Jackson,Venezuela,Income,Conservative,individual
388,Brian Castro,Venezuela,Growth,Conservative,corporate
389,Alyssa Rodriguez,Micronesia,Balanced,Aggressive,individual
390,April Spencer,Bermuda,Income,Moderate,corporate
391,Brandi Kaufman,Lesotho,Income,Moderate,individual
392,Rebecca Glenn,El Salvador,Income,Conservative,corporate
393,Jennifer Bailey,Dominica,Growth,Moderate,individual
394,Frank James,Cambodia,Balanced,Aggressive,corporate
395,Jill Spence,Costa Rica,Growth,Conservative,individual
396,Jonathan Elliott,Christmas Island,Income,Moderate,corporate
397,Marcus Lewis,South Georgia and the South Sandwich Islands,Balanced,Aggressive,individual
398,Mr. Samuel Harrington Jr.,Macao,Growth,Aggressive,individual
399,Alyssa Smith,Colombia,Income,Moderate,individual
400,Casey Peters,United States Virgin Islands,Balanced,Moderate,corporate
401,Christopher Smith,Ghana,Growth,Conservative,corporate
402,Dan Cruz,Saint Pierre and Miquelon,Balanced,Moderate,individual
403,Shelia Valencia,Netherlands Antilles,Growth,Conservative,individual
404,Hector Thomas,Lao People's Democratic Republic,Balanced,Aggressive,corporate
405,James Murray,Puerto Rico,Income,Aggressive,individual
406,Phillip Deleon,Timor-Leste,Balanced,Conservative,corporate
407,Isabel Atkinson,Turks and Caicos Islands,Balanced,Conservative,individual
408,Sara Ray,Korea,Growth,Moderate,individual
409,Sandra Jones,Micronesia,Growth,Moderate,individual
410,Amanda Lindsey,Zambia,Income,Conservative,corporate
411,Edward Mitchell,Tuvalu,Growth,Aggressive,individual
412,Jesus Murphy,Rwanda,Balanced,Conservative,individual
413,Rachel Torres,Ethiopia,Balanced,Conservative,individual
414,James Perez,Uganda,Balanced,Aggressive,individual
415,Robert Dunlap,Montenegro,Growth,Moderate,corporate
416,Craig Hicks,North Macedonia,Growth,Moderate,individual
417,Shane Mcclure,China,Growth,Conservative,individual
418,Ross Howard,Portugal,Balanced,Conservative,corporate
419,David Carter,Portugal,Balanced,Aggressive,individual
420,Jessica Smith,United States Minor Outlying Islands,Growth,Aggressive,individual
421,Crystal Benson,Venezuela,Income,Aggressive,individual
422,Mark Rogers,Guinea,Growth,Conservative,corporate
423,Vanessa Rasmussen,Germany,Growth,Aggressive,corporate
424,Michael Jackson,Canada,Balanced,Aggressive,individual
425,Jeremy Sanders,Palau,Income,Moderate,individual
426,Cheryl Marsh,Palau,Growth,Moderate,individual
427,Matthew Burnett,Swaziland,Growth,Aggressive,corporate
428,Natalie Oconnor,Bahamas,Growth,Conservative,corporate
429,Tina Ross,Greece,Growth,Moderate,corporate
430,Wayne Jones,Mozambique,Income,Moderate,corporate
431,Sherry Faulkner,Kenya,Balanced,Aggressive,individual
432,Brandon Shaw,Georgia,Income,Moderate,individual
433,Tracy Brown,Syrian Arab Republic,Balanced,Aggressive,individual
434,Timothy Hurley,Cook Islands,Income,Aggressive,individual
435,Bridget Jones,Korea,Growth,Moderate,individual
436,Amy Johnson,Solomon Islands,Growth,Aggressive,individual
437,Henry Arellano,Micronesia,Growth,Moderate,corporate
438,Douglas Newton,Western Sahara,Income,Aggressive,individual
439,James Palmer,Togo,Growth,Conservative,individual
440,April Hart DVM,Ghana,Balanced,Aggressive,corporate
441,Steven Reed,Turkmenistan,Balanced,Conservative,individual
442,Daniel Johnson,South Africa,Income,Aggressive,individual
443,Glenn King,Cote d'Ivoire,Growth,Conservative,corporate
444,Stanley May,Bermuda,Income,Aggressive,corporate
445,Trevor Hines,Honduras,Growth,Moderate,corporate
446,Holly Woods,Gabon,Growth,Moderate,individual
447,Melissa Riley,Bahrain,Income,Aggressive,individual
448,Tammy Bush,Egypt,Growth,Aggressive,individual
449,Stephanie Pena,Denmark,Growth,Conservative,corporate
450,Zachary Hampton,Montserrat,Income,Conservative,individual
451,Angelica Bates,Sao Tome and Principe,Balanced,Conservative,individual
452,Alan Molina,Liechtenstein,Growth,Moderate,individual
453,Audrey Wilson,Sudan,Income,Aggressive,individual
454,Sean Summers,Saint Helena,Balanced,Moderate,individual
455,Jennifer Noble,Ethiopia,Balanced,Conservative,corporate
456,Richard Valencia,Turkmenistan,Income,Conservative,individual
457,Russell Wallace,Thailand,Growth,Moderate,individual
458,Jeremy Smith,Comoros,Growth,Moderate,corporate
459,Charles Carpenter,Burkina Faso,Balanced,Aggressive,individual
460,Lindsey Barrett,Liberia,Balanced,Moderate,corporate
461,Mary Ware,Sao Tome and Principe,Income,Conservative,corporate
462,Kathy Jones,Argentina,Income,Conservative,individual
463,John Espinoza,South Africa,Growth,Aggressive,individual
464,Michael French,Liberia,Growth,Moderate,individual
465,Sandra Hammond,Cambodia,Growth,Aggressive,individual
466,Juan Gonzales,Western Sahara,Growth,Aggressive,corporate
467,Christopher Smith,Mongolia,Growth,Aggressive,corporate
468,Chelsea Meyer,Cook Islands,Balanced,Conservative,corporate
469,Blake Perry,Tanzania,Income,Conservative,individual
